Smiles,DC50 (nM),Sensor,Dmax (%),"IC50 (nM, Protac to Target)","IC50 (nM, Cellular activities)",Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C3=CN4C(=N3)SC3=CC(OCCN5CCN(CCOCCOCCNC(=O)CNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)=CC=C34)C=C2)=NO1,,,,,,1004.14,1003.401058,4.82,-4.18,72,9,17,5,20,243.31
CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C3=CN4C(=N3)SC3=CC(OCCN5CCN(CCOCCOCCNC(=O)CNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)=CC=C34)C=C2)=NO1,,,,,,1004.14,1003.401058,4.82,-4.18,72,9,17,5,20,243.31
CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C3=CN4C(=N3)SC3=CC(OCCN5CCN(CCOCCOCCNC(=O)CNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)=CC=C34)C=C2)=NO1,,,,,,1004.14,1003.401058,4.82,-4.18,72,9,17,5,20,243.31
CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C3=CN4C(=N3)SC3=CC(OCCN5CCN(CCOCCOCCNC(=O)CNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)=CC=C34)C=C2)=NO1,,,,,,1004.14,1003.401058,4.82,-4.18,72,9,17,5,20,243.31
CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C3=CN4C(=N3)SC3=CC(OCCN5CCN(CCOCCOCCNC(=O)CNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)=CC=C34)C=C2)=NO1,,,,,,1004.14,1003.401058,4.82,-4.18,72,9,17,5,20,243.31
CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C3=CN4C(=N3)SC3=CC(OCCOCCOCCNC(=O)CNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)=CC=C34)C=C2)=NO1,,,N.D.,,,891.964,891.3010096,4.88,-4.38,64,8,15,5,17,236.83
CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C3=CN4C(=N3)SC3=CC(OCCOCCOCCOCCNC(=O)CNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)=CC=C34)C=C2)=NO1,,,,,,936.017,935.3272244,4.86,-4.41,67,8,16,5,20,246.06
CC1=CC=C(C(=O)NC2=CC=C(CN3CCN(CCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C(C(F)(F)F)=C2)C=C1C#CC1=CN=C2C=CC=NN12,,,,,,962.987,962.3686932,3.78,-5.38,70,8,14,4,17,208.91
CC1=CC=C(C(=O)NC2=CC=C(CN3CCN(CCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C(C(F)(F)F)=C2)C=C1C#CC1=CN=C2C=CC=NN12,,,,,,962.987,962.3686932,3.78,-5.38,70,8,14,4,17,208.91
CC1=CC=C(C(=O)NC2=CC=C(CN3CCN(CCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C(C(F)(F)F)=C2)C=C1C#CC1=CN=C2C=CC=NN12,,,,,,962.987,962.3686932,3.78,-5.38,70,8,14,4,17,208.91
CC1=CC=C(C(=O)NC2=CC=C(CN3CCN(CCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C(C(F)(F)F)=C2)C=C1C#CC1=CN=C2C=CC=NN12,,,,,,962.987,962.3686932,3.78,-5.38,70,8,14,4,17,208.91
CC1=CC=C(C(=O)NC2=CC=C(CN3CCN(CCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C(C(F)(F)F)=C2)C=C1C#CC1=CN=C2C=CC=NN12,,,,,,962.987,962.3686932,3.78,-5.38,70,8,14,4,17,208.91
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1,,,,,,984.015,983.372615,4.72,-5.14,72,8,15,6,19,266.2
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br,,,,,,928.839,927.2384854,3.66,-4.96,61,6,13,5,20,252.19
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br,,,,,,956.805,955.1970145,3.25,-5.11,63,6,16,6,24,271.6
CC1=CC(S(=O)(=O)NCCOCCOCCOCCOCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=CC=C1NC1=NC=C(Br)C(NC2=CC=CC(F)=C2C(N)=O)=N1,,,,,,970.832,969.2126646,3.36,-5.14,64,6,16,6,24,271.6
CC1=CC(S(=O)(=O)NCCOCCOCCOCCOCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=CC=C1NC1=NC=C(Br)C(NC2=CC=CC(F)=C2C(N)=O)=N1,,,,,,970.832,969.2126646,3.36,-5.14,64,6,16,6,24,271.6
CC1=CC(S(=O)(=O)NCCOCCOCCOCCOCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=CC=C1NC1=NC=C(Br)C(NC2=CC=CC(F)=C2C(N)=O)=N1,,,,,,970.832,969.2126646,3.36,-5.14,64,6,16,6,24,271.6
