DC50 (nM),Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
316,958.608,957.3432648,4.34,-5.47,66,7,14,4,17,202.26
312.9,1138.45,1137.583379,5.92,-5.86,82,8,14,5,23,230.57
304,1210.367,1209.469298,6.24,-6.31,87,10,15,4,28,229.31
300,973.395,972.3245552,3.93,-5.18,69,8,16,5,22,256.99
300,918.106,917.4269591,3.63,-5.52,65,7,15,5,19,217.83
300,885.003,884.4194254,3.44,-4.51,65,9,16,3,15,225.78
300,1050.198,1049.469869,5.53,-5.61,77,8,13,5,25,227.44
300,1067.229,1066.496419,5.78,-5.88,78,8,14,6,28,247.31
300,1095.283,1094.527719,6.16,-6.02,80,8,14,6,30,247.31
300,1159.279,1158.507377,4.58,-5.37,84,8,18,6,34,284.23
300,1177.871,1176.534571,5.48,-6.13,83,8,16,6,27,250.68
300,1211.444,1210.495551,6.05,-5.98,85,9,17,4,27,218.78
293,844.93,844.3656585,3.52,-4.39,62,7,13,5,16,246.61
280,1041.742,1040.416764,4.35,-5.53,72,8,15,5,18,214.29
271.9,991.074,990.4424466,4.24,-4.98,72,9,19,3,22,228.98
263.8,1309.401,1307.566556,8.24,-5.46,93,9,13,5,25,222.19
260,1144.139,1143.406711,3.45,-5.68,82,9,10,8,18,310.81
259,982.233,981.4834114,6.26,-5.6,70,6,11,5,22,215.17
250,1196.175,1195.412859,3.29,-5.53,86,10,12,8,18,328.63
250,918.106,917.4269591,3.63,-5.52,65,7,15,5,19,217.83
235,1082.342,1081.520779,4.97,-5.59,78,8,14,5,19,230.57
230,1106.259,1105.443083,5.69,-6.24,79,8,14,5,25,228.87
220,1029.19,1028.421459,4.3,-5.33,74,8,17,4,20,255.55
215.8,1086.773,1085.497537,6.37,-6.45,76,6,14,5,29,209.47
210,1106.259,1105.443083,5.69,-6.24,79,8,14,5,25,228.87
200,1017.448,1016.35077,4.02,-5.21,72,8,17,5,25,266.22
200,1046.714,1045.395694,4.66,-5.65,72,7,16,4,23,220.72
200,789.981,789.4002531,6.11,-4.57,59,9,8,2,7,132.85
200,1135.403,1134.568458,4.19,-5.63,81,8,19,5,25,264.67
200,1064.225,1063.48552,5.75,-5.66,78,8,13,5,26,227.44
200,1053.202,1052.480769,5.55,-5.77,77,8,14,6,27,247.31
200,1203.332,1202.533592,4.63,-5.39,87,8,19,6,37,293.46
190,830.903,830.3500084,3.31,-4.33,61,7,13,5,15,246.61
182,1180.361,1179.581625,5.69,-5.49,85,8,16,5,27,262.39
180,1196.175,1195.412859,3.41,-5.55,86,10,12,8,18,328.63
